,fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
1047,fig-009919,1,"Troll, Sand Green with Tattoos (Big Fig)",10,16081,7097-1,Trolls' Mountain Fortress,2009,193
1048,fig-009920,1,"King, Dark Blue, Gold Armor and Crown",5,16081,7097-1,Trolls' Mountain Fortress,2009,193
1049,fig-009921,1,"Knight, Dark Blue, Wide Brim Helmet",4,16081,7097-1,Trolls' Mountain Fortress,2009,193
1050,fig-009923,1,"Knight, Dark Blue, Armor, Helmet with Grille",5,16081,7097-1,Trolls' Mountain Fortress,2009,193
1051,fig-009924,1,Troll King,5,16081,7097-1,Trolls' Mountain Fortress,2009,193
1052,fig-009925,1,Troll Queen,5,16081,7097-1,Trolls' Mountain Fortress,2009,193
1053,fig-009527,1,Knight - Light Bluish Grey Armour with Crown,6,6272,7094-1,King's Castle Siege,2007,193
1054,fig-002325,2,Skeleton with Evil Face with Red Eyes,6,6272,7094-1,King's Castle Siege,2007,193
1055,fig-009907,1,"Skeleton Warrior, Speckle Black-Silver Armor and Helmet",5,6272,7094-1,King's Castle Siege,2007,193
1056,fig-007737,1,"Skeleton with Evil Face, Black with Straight Mechanical Arms",6,6272,7094-1,King's Castle Siege,2007,193
1057,fig-009530,1,Chess Piece - Crown - King,6,6272,7094-1,King's Castle Siege,2007,193
1058,fig-009927,1,"Knight, Archer with Wide Brim Helmet, Quiver, Beard",5,6272,7094-1,King's Castle Siege,2007,193
1059,fig-009928,1,"Knight, Archer with Wide Brim Helmet, Quiver",5,6272,7094-1,King's Castle Siege,2007,193
1060,fig-009929,1,"Knight, Dark Blue, Helmet, Stubble",4,6272,7094-1,King's Castle Siege,2007,193
1061,fig-009930,1,"Knight, Dark Blue, Helmet, Beard",4,6272,7094-1,King's Castle Siege,2007,193
1062,fig-009527,5,Knight - Light Bluish Grey Armour with Crown,6,10503,852132-1,Castle Tic Tac Toe,2007,186
1063,fig-009528,5,Skeleton Warrior,5,10503,852132-1,Castle Tic Tac Toe,2007,186
1064,fig-009527,1,Knight - Light Bluish Grey Armour with Crown,6,93630,852009-1,Castle Minifigure Magnet Set,2007,501
1065,fig-009895,1,"King, Gold Armor and Crown",5,93630,852009-1,Castle Minifigure Magnet Set,2007,501
1066,fig-011209,1,Skeleton Warrior with Black Hips,5,93630,852009-1,Castle Minifigure Magnet Set,2007,501
1067,fig-009926,1,Troll Warrior 2 (Orc),4,7259,7078-1,King's Battle Chariot,2009,193
1068,fig-009911,1,Troll Warrior 8 (Orc),4,7259,7078-1,King's Battle Chariot,2009,193
1069,fig-009942,1,"Knight, Dark Blue, Wide Brim Helmet, Cheek Lines",4,7259,7078-1,King's Battle Chariot,2009,193
1070,fig-009943,1,"King, Dark Blue, Gold Armor and Crown with Dark Blue Plume",6,7259,7078-1,King's Battle Chariot,2009,193
1071,fig-009926,1,Troll Warrior 2 (Orc),4,12522,7038-1,Troll Assault Wagon,2008,193
1072,fig-009950,1,"Troll, Sand Green with 5 White Horns (Big Fig)",12,12522,7038-1,Troll Assault Wagon,2008,193
1073,fig-009951,1,"Knight, Dark Blue, Helmet, Goatee Beard",4,12522,7038-1,Troll Assault Wagon,2008,193
1074,fig-009952,1,"Knight, Dark Blue, Helmet, Stubble and Printed Hair",4,12522,7038-1,Troll Assault Wagon,2008,193
1075,fig-001953,1,Spider-Man,3,152,76015-1,Doc Ock Truck Heist,2014,706
1076,fig-005004,1,Armored Truck Driver,4,152,76015-1,Doc Ock Truck Heist,2014,706
1077,fig-005005,1,Dr. Octopus / Doc Ock with Long White Lab Coat,26,152,76015-1,Doc Ock Truck Heist,2014,706
1078,fig-001953,1,Spider-Man,3,860,76004-1,Spider-Man: Spider-Cycle Chase,2013,706
1079,fig-004897,1,Venom with Black Tentacles,9,860,76004-1,Spider-Man: Spider-Cycle Chase,2013,706
1080,fig-004898,1,Nick Fury,3,860,76004-1,Spider-Man: Spider-Cycle Chase,2013,706
1081,fig-001953,1,Spider-Man,3,3496,30305-1,Spider-Man Super Jumper,2015,706
1082,fig-001953,1,Spider-Man,3,5281,76058-1,Spider-Man: Ghost Rider Team-up,2016,706
1083,fig-005337,1,"Ghost Rider, White Head",3,5281,76058-1,Spider-Man: Ghost Rider Team-up,2016,706
1084,fig-005338,1,Hobgoblin,5,5281,76058-1,Spider-Man: Ghost Rider Team-up,2016,706
1085,fig-001953,1,Spider-Man,3,6175,30302-1,Spider-Man Glider,2014,706
1086,fig-001953,1,Spider-Man,3,6711,30448-1,Spider-Man vs. The Venom Symbiote,2016,706
1087,fig-001953,1,Spider-Man,3,6996,76016-1,Spider-Helicopter Rescue,2014,706
1088,fig-005044,1,Power Man,3,6996,76016-1,Spider-Helicopter Rescue,2014,706
1089,fig-005045,1,Mary Jane with Heart Spider-man Logo on Shirt,4,6996,76016-1,Spider-Helicopter Rescue,2014,706
1090,fig-005046,1,Green Goblin (Big Fig),7,6996,76016-1,Spider-Helicopter Rescue,2014,706
1091,fig-001953,1,Spider-Man,3,8551,76014-1,Spider-Trike vs. Electro,2014,706
1092,fig-005006,1,Electro with Trans-Medium Blue Head and Arms,3,8551,76014-1,Spider-Trike vs. Electro,2014,706
1093,fig-001953,1,Spider-Man,3,9516,6873-1,Spider-Man's Doc Ock Ambush,2012,706
1094,fig-004593,1,Iron Fist,3,9516,6873-1,Spider-Man's Doc Ock Ambush,2012,706
1095,fig-004594,1,Dr. Octopus / Doc Ock with Red Sunglasses and Light Bluish Gray Suit,26,9516,6873-1,Spider-Man's Doc Ock Ambush,2012,706
1096,fig-001953,1,Spider-Man,3,9744,76005-1,Spider-Man: Daily Bugle Showdown,2013,706
1097,fig-004893,1,Beetle,4,9744,76005-1,Spider-Man: Daily Bugle Showdown,2013,706
1098,fig-004894,1,Dr. Doom,5,9744,76005-1,Spider-Man: Daily Bugle Showdown,2013,706
1099,fig-004895,1,J. Jonah Jameson,4,9744,76005-1,Spider-Man: Daily Bugle Showdown,2013,706
1100,fig-004896,1,Nova,4,9744,76005-1,Spider-Man: Daily Bugle Showdown,2013,706
1101,fig-001953,1,Spider-Man,3,12865,76059-1,Spider-Man: Doc Ock's Tentacle Trap,2016,706
1102,fig-005333,1,Captain Stacy,4,12865,76059-1,Spider-Man: Doc Ock's Tentacle Trap,2016,706
1103,fig-005334,1,Dr. Octopus / Doc Ock in Bright Green and Yellow Outfit with No Tentacles,5,12865,76059-1,Spider-Man: Doc Ock's Tentacle Trap,2016,706
1104,fig-005335,1,White Tiger,5,12865,76059-1,Spider-Man: Doc Ock's Tentacle Trap,2016,706
1105,fig-005336,1,Vulture in Green Outfit,4,12865,76059-1,Spider-Man: Doc Ock's Tentacle Trap,2016,706
1106,fig-001953,1,Spider-Man,3,14741,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,706
1107,fig-005324,1,Green Goblin in Magenta Outfit,4,14741,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,706
1108,fig-005325,1,Kraven The Hunter,5,14741,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,706
1109,fig-005326,1,Scarlet Spider,4,14741,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,706
1110,fig-005327,1,Scorpion,6,14741,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,706
