,year,theme,count
573,1950,Pharaoh's Quest,0
574,1950,Pick A Model,0
575,1950,Pirates,0
576,1950,Pirates I,0
577,1950,Pirates II,0
578,1950,Pirates III,0
579,1950,Pirates of the Caribbean,0
580,1950,Playhouse,0
581,1950,Playsets,0
582,1950,Police,0
583,1950,Power Functions,0
584,1950,Power Miners,0
585,1950,Powered Up,0
586,1950,Primo,0
587,1950,Prince of Persia,0
588,1950,Princess Castle,0
589,1950,Promotional,0
590,1950,Protectors,0
591,1950,Quatro,0
592,1950,RCX,0
593,1950,Race,0
594,1950,Racers,0
595,1950,Rattles,0
596,1950,Res-Q,0
597,1950,RoboForce,0
598,1950,RoboRiders,0
599,1950,Rock Raiders,0
600,1950,Royal Knights,0
601,1950,Samsonite,0
602,1950,Scala,0
603,1950,Scooby-Doo,0
604,1950,Sculptures,0
605,1950,Seasonal,0
606,1950,Series 1 Minifigures,0
607,1950,Series 10 Minifigures,0
608,1950,Series 11 Minifigures,0
609,1950,Series 12 Minifigures,0
610,1950,Series 13 Minifigures,0
611,1950,Series 14 Minifigures,0
612,1950,Series 15 Minifigures,0
613,1950,Series 16 Minifigures,0
614,1950,Series 17 Minifigures,0
615,1950,Series 18 Minifigures,0
616,1950,Series 19 Minifigures,0
617,1950,Series 2 Minifigures,0
618,1950,Series 20 Minifigures,0
619,1950,Series 21 Minifigures,0
620,1950,Series 22 Minifigures,0
621,1950,Series 23 Minifigures,0
622,1950,Series 3 Minifigures,0
623,1950,Series 4 Minifigures,0
624,1950,Series 5 Minifigures,0
625,1950,Series 6 Minifigures,0
626,1950,Series 7 Minifigures,0
627,1950,Series 8 Minifigures,0
628,1950,Series 9 Minifigures,0
629,1950,Service Packs,0
630,1950,Skylines,0
631,1950,Soccer,0
632,1950,Sofia the First,0
633,1950,Soft Bricks,0
634,1950,Space,0
635,1950,Space Police I,0
636,1950,Space Police II,0
637,1950,Space Police III,0
638,1950,Space Port,0
639,1950,Speed Champions,0
640,1950,Speed Racer,0
641,1950,Speed Slammers,0
642,1950,Speedorz,0
643,1950,Spider-Man,0
644,1950,Spiderman,0
645,1950,SpongeBob SquarePants,0
646,1950,Sports,0
647,1950,Spybotics,0
648,1950,Spyrius,0
649,1950,Star Wars,0
650,1950,Stingrays,0
651,1950,Stranger Things,0
652,1950,Studios,0
653,1950,Super Heroes DC,0
654,1950,Super Heroes Marvel,0
655,1950,Super Mario,0
656,1950,Superman,0
657,1950,Supplemental,6
658,1950,System,0
659,1950,Team GB,0
660,1950,Technic,0
661,1950,Teenage Mutant Ninja Turtles,0
662,1950,Thanksgiving,0
663,1950,The Hobbit,0
664,1950,The LEGO Batman Movie,0
665,1950,The LEGO Batman Movie Series 1,0
666,1950,The LEGO Batman Movie Series 2,0
667,1950,The LEGO Movie,0
668,1950,The LEGO Movie II,0
669,1950,The Lone Ranger,0
670,1950,The Lord of the Rings,0
671,1950,The Muppets,0
672,1950,The Powerpuff Girls,0
673,1950,The Simpsons Series 1,0
674,1950,The Simpsons Series 2,0
675,1950,Thomas & Friends,0
676,1950,Throwbot Slizer,0
677,1950,Time Cruisers,0
678,1950,Toolo,0
679,1950,Town,0
680,1950,Town Jr.,0
681,1950,Town Plan,0
682,1950,Toy Story,0
683,1950,Traffic,0
684,1950,Train,0
685,1950,Trains,0
686,1950,Trolls: World Tour,0
687,1950,UCS,0
688,1950,UFO,0
689,1950,Ultimate Collector Series,0
690,1950,Ultra Agents,0
691,1950,Unikitty!,0
692,1950,Unitron,0
693,1950,Universal Building Set,0
694,1950,Universe,0
695,1950,VIDIYO,0
696,1950,Valentine,0
697,1950,Value Packs,0
698,1950,Vehicle,0
699,1950,Vikings,0
700,1950,Villains,0
701,1950,WeDo,0
702,1950,Western,0
703,1950,Williams F1,0
704,1950,Winnie the Pooh,0
705,1950,Wolfpack,0
706,1950,World City,0
707,1950,World Racers,0
708,1950,X-Men,0
709,1950,X-Pod,0
710,1950,Xtra,0
711,1950,Znap,0
712,1950,Zooters,0
713,1950,eLAB,0
714,1953,12V,0
715,1953,4 Juniors,0
716,1953,4.5V,0
717,1953,9V,0
718,1953,Action Wheelers,0
719,1953,Advent,0
720,1953,Adventurers,0
721,1953,Agents,0
722,1953,Airport,0
723,1953,Alien Conquest,0
724,1953,Alpha Team,0
725,1953,Angry Birds,0
726,1953,Aquanauts,0
727,1953,Aquaraiders I,0
728,1953,Aquaraiders II,0
729,1953,Aquasharks,0
730,1953,Aquazone,0
731,1953,Architecture,0
732,1953,Arctic,0
733,1953,Atlantis,0
734,1953,Avatar,0
735,1953,Avatar: The Last Airbender,0
736,1953,Avengers,0
737,1953,Basic,0
738,1953,Basic Model,0
739,1953,Basic Set,1
740,1953,Basketball,0
741,1953,Batman,0
742,1953,Belville,0
743,1953,Ben 10,0
744,1953,Bionicle,0
745,1953,Black Falcons,0
746,1953,Black Knights,0
747,1953,Blacktron I,0
748,1953,Blacktron II,0
749,1953,Boat,0
750,1953,Bob the Builder,0
751,1953,Books,0
752,1953,Brick Sketches,0
753,1953,BrickLink Designer Program,0
754,1953,Brickheadz,0
755,1953,Bricktober,0
756,1953,Building,0
757,1953,Building Set with People,0
758,1953,Bulk Bricks,0
759,1953,Cargo,0
760,1953,Cars,0
761,1953,Castle,0
762,1953,Chinese Traditional Festivals,0
763,1953,Christmas,0
764,1953,Cities of Wonders,0
765,1953,City,0
766,1953,City Center,0
767,1953,Classic,0
768,1953,Classic Basic,0
769,1953,Classic Castle,0
770,1953,Classic Space,0
771,1953,Classic Town,0
772,1953,Clikits,0
773,1953,Coast Guard,0
774,1953,Collectible Minifigures,0
775,1953,Competition,0
776,1953,Constraction,0
777,1953,Construction,0
778,1953,Control Lab,0
779,1953,Creator,0
780,1953,Creator 3-in-1,0
781,1953,Creator Expert,0
782,1953,Crusaders,0
783,1953,DC Comics,0
784,1953,DC Comics Super Heroes,0
785,1953,DC Super Hero Girls,0
786,1953,DC Super Heroes,0
787,1953,DFB Minifigures,0
788,1953,DOTS,0
789,1953,Dark Forest,0
790,1953,Desert,0
791,1953,Designer Sets,0
792,1953,Dimensions,0
793,1953,Dino,0
794,1953,Dino 2010,0
795,1953,Dino Attack,0
796,1953,Dino Island,0
797,1953,Dinosaurs,0
798,1953,Discovery,0
799,1953,Disney,0
800,1953,Disney Planes,0
801,1953,Disney Princess,0
802,1953,Disney Series 1,0
803,1953,Disney Series 2,0
804,1953,Disney's Mickey Mouse,0
805,1953,Divers,0
806,1953,Doc McStuffins,0
807,1953,Dolls,0
808,1953,Dora the Explorer,0
809,1953,Duplo,0
810,1953,Duplo and Explore,0
811,1953,EV3,0
812,1953,Early Creator,0
813,1953,Easter,0
814,1953,Educational and Dacta,0
815,1953,Elves,0
816,1953,Exo-Force,0
817,1953,Expert Builder,0
818,1953,Exploriens,0
819,1953,Extreme Team,0
820,1953,FIRST LEGO League,0
821,1953,Fabuland,0
822,1953,Factory,0
823,1953,Fantastic Beasts,0
824,1953,Fantasy Era,0
825,1953,Farm,0
826,1953,Ferrari,0
827,1953,Ferries,0
828,1953,Fire,0
829,1953,Forestmen,0
830,1953,Forma,0
831,1953,Freestyle,0
832,1953,Friends,0
833,1953,Fright Knights,0
834,1953,Frozen,0
835,1953,Fusion,0
836,1953,Futuron,0
837,1953,Galaxy Squad,0
838,1953,Galidor,0
839,1953,Games,0
840,1953,Gas Station,0
841,1953,Gear,0
842,1953,Gears,0
843,1953,Ghostbusters,0
844,1953,Gravity Games,0
845,1953,Guardians of the Galaxy,0
846,1953,HO 1:87 Vehicles,0
847,1953,Halloween,0
848,1953,Harbor,0
849,1953,Harry Potter,0
850,1953,Harry Potter and Fantastic Beasts Series 1,0
851,1953,Harry Potter and Fantastic Beasts Series 2,0
852,1953,Hero Factory,0
853,1953,Heroes,0
854,1953,Hidden Side,0
855,1953,Hobby Sets,0
856,1953,Hockey,0
857,1953,Homemaker,0
858,1953,Hospital,0
859,1953,Hydronauts,0
860,1953,Ice Planet 2002,0
861,1953,Icons,0
862,1953,Indiana Jones,0
863,1953,Insectoids,0
864,1953,Inventor,0
865,1953,Iron Man,0
866,1953,Island Xtreme Stunts,0
867,1953,Jack Stone,0
868,1953,Jake and the Never Land Pirates,0
869,1953,Jumbo Bricks,0
870,1953,Jungle,0
871,1953,Juniors,0
872,1953,Jurassic Park III,0
873,1953,Jurassic World,0
874,1953,Jurassic World: Fallen Kingdom,0
875,1953,Justice League,0
876,1953,Key Chain,0
877,1953,Kingdoms,0
878,1953,Knights Kingdom I,0
879,1953,Knights Kingdom II,0
880,1953,LEGO Art,0
881,1953,LEGO Brand Store,0
882,1953,LEGO Exclusive,0
883,1953,LEGO Ideas and CUUSOO,0
884,1953,LEGO Originals,0
885,1953,Launch Command,0
886,1953,Learning,0
887,1953,Legends of Chima,0
888,1953,Legoland,0
889,1953,Legoland Parks,0
890,1953,Legoville,0
891,1953,Life On Mars,0
892,1953,Lion Knights,0
893,1953,Little Forest Friends,0
894,1953,Little Robots,0
895,1953,Looney Tunes,0
896,1953,M:Tron,0
897,1953,Mars Exploration,0
898,1953,Mars Mission,0
899,1953,Marvel,0
900,1953,Marvel Super Heroes,0
901,1953,Master Builder Academy,0
902,1953,Miles From Tomorrowland,0
903,1953,Mindstorms,0
904,1953,Minecraft,0
905,1953,Mini,0
906,1953,Minions,0
907,1953,Minitalia,0
908,1953,Mission Deep Freeze,0
909,1953,Mission Deep Sea,0
910,1953,Mixels,0
911,1953,Model Team,0
912,1953,Modular Buildings,0
913,1953,Modulex,0
914,1953,Monkie Kid,0
915,1953,Monster Fighters,0
916,1953,Monthly Mini Model Build,0
917,1953,Mosaic,0
918,1953,My Town,0
919,1953,NXT,0
920,1953,Nexo Knights,0
921,1953,Ninja,0
922,1953,Ninjago,0
923,1953,Ninjago The Movie,0
